Exception_ID,Rule_ID,Record_ID,Severity,Description,Owner,Status,Identified_Date,Resolution_Date
EX-00024,DQ-01,APL-2026-003989,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00025,DQ-01,APL-2026-001375,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00026,DQ-01,APL-2026-002641,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00027,DQ-01,APL-2026-005279,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00028,DQ-01,APL-2026-001570,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00029,DQ-01,APL-2026-000513,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00030,DQ-01,APL-2026-003087,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00031,DQ-01,APL-2026-002589,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00032,DQ-01,APL-2026-003189,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00033,DQ-01,APL-2026-002921,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00034,DQ-01,APL-2026-003200,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00035,DQ-01,APL-2026-003339,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00036,DQ-01,APL-2026-003492,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00037,DQ-01,APL-2026-004625,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00038,DQ-01,APL-2026-004673,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00039,DQ-01,APL-2026-004134,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00040,DQ-01,APL-2026-004867,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00041,DQ-01,APL-2026-005363,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00042,DQ-01,APL-2026-004194,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00043,DQ-01,APL-2026-003312,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00044,DQ-01,APL-2026-002938,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00045,DQ-01,APL-2026-003956,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00046,DQ-01,APL-2026-005419,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00047,DQ-01,APL-2026-001528,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00048,DQ-01,APL-2026-005264,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00049,DQ-01,APL-2026-005527,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00050,DQ-01,APL-2026-005201,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00051,DQ-01,APL-2026-002039,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00052,DQ-01,APL-2026-002948,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00053,DQ-01,APL-2026-003298,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00054,DQ-01,APL-2026-002695,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00055,DQ-01,APL-2026-004547,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00056,DQ-01,APL-2026-002025,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00057,DQ-01,APL-2026-003395,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00058,DQ-01,APL-2026-000757,High,"Duplicate Appeal_ID in case management export, typically a reopened case written as a new row. First occurrence retained.",Data Steward,Open,2026-06-30,
EX-00059,DQ-02,APL-2026-005841,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00060,DQ-02,APL-2026-000031,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00061,DQ-02,APL-2026-000876,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00062,DQ-02,APL-2026-000816,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00063,DQ-02,APL-2026-005611,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00064,DQ-02,APL-2026-001283,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00065,DQ-02,APL-2026-004877,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00066,DQ-02,APL-2026-002403,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00067,DQ-02,APL-2026-003277,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00068,DQ-02,APL-2026-004365,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00069,DQ-02,APL-2026-001171,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00070,DQ-02,APL-2026-001886,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00071,DQ-02,APL-2026-005699,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00072,DQ-02,APL-2026-001868,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00073,DQ-02,APL-2026-005184,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00074,DQ-02,APL-2026-001073,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00075,DQ-02,APL-2026-004162,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00076,DQ-02,APL-2026-001805,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00077,DQ-02,APL-2026-004138,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00078,DQ-02,APL-2026-005797,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00079,DQ-02,APL-2026-002036,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00080,DQ-02,APL-2026-000192,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00081,DQ-02,APL-2026-001554,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00082,DQ-02,APL-2026-000262,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00083,DQ-02,APL-2026-004895,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00084,DQ-02,APL-2026-003088,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00085,DQ-02,APL-2026-003262,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00086,DQ-02,APL-2026-004598,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00087,DQ-02,APL-2026-001985,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00088,DQ-02,APL-2026-004746,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00089,DQ-02,APL-2026-005032,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00090,DQ-02,APL-2026-002657,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00091,DQ-02,APL-2026-003087,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00092,DQ-02,APL-2026-002031,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00093,DQ-02,APL-2026-003403,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00094,DQ-02,APL-2026-003689,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00095,DQ-02,APL-2026-001564,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00096,DQ-02,APL-2026-003874,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00097,DQ-02,APL-2026-005749,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00098,DQ-02,APL-2026-005435,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00099,DQ-02,APL-2026-004545,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00100,DQ-02,APL-2026-000154,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00101,DQ-02,APL-2026-000048,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00102,DQ-02,APL-2026-004033,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00103,DQ-02,APL-2026-000337,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00104,DQ-02,APL-2026-001617,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00105,DQ-02,APL-2026-003995,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00106,DQ-02,APL-2026-002298,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00107,DQ-02,APL-2026-005620,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00108,DQ-02,APL-2026-004907,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00109,DQ-02,APL-2026-004798,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00110,DQ-02,APL-2026-005549,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00111,DQ-02,APL-2026-003625,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00112,DQ-02,APL-2026-001184,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00113,DQ-02,APL-2026-000542,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00114,DQ-02,APL-2026-000756,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00115,DQ-02,APL-2026-000250,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00116,DQ-02,APL-2026-004265,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00117,DQ-02,APL-2026-004873,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00118,DQ-02,APL-2026-002315,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00119,DQ-02,APL-2026-002549,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00120,DQ-02,APL-2026-002537,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00121,DQ-02,APL-2026-005202,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00122,DQ-02,APL-2026-003533,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00123,DQ-02,APL-2026-005921,High,Appeal present in case management but missing from workflow tracker; routing and rework fields cannot be populated.,Data Steward,Open,2026-06-30,
EX-00124,DQ-03,APL-2026-003893,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00125,DQ-03,APL-2026-000582,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00126,DQ-03,APL-2026-004408,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00127,DQ-03,APL-2026-000630,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00128,DQ-03,APL-2026-001927,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00129,DQ-03,APL-2026-005256,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00130,DQ-03,APL-2026-000172,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00131,DQ-03,APL-2026-002525,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00132,DQ-03,APL-2026-001586,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00133,DQ-03,APL-2026-000689,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00134,DQ-03,APL-2026-001169,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00135,DQ-03,APL-2026-001022,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00136,DQ-03,APL-2026-005126,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00137,DQ-03,APL-2026-003336,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00138,DQ-03,APL-2026-003938,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00139,DQ-03,APL-2026-003320,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00140,DQ-03,APL-2026-003540,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00141,DQ-03,APL-2026-005203,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00142,DQ-03,APL-2026-005914,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00143,DQ-03,APL-2026-004266,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00144,DQ-03,APL-2026-002441,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00145,DQ-03,APL-2026-005679,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00146,DQ-03,APL-2026-002112,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00147,DQ-03,APL-2026-004756,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00148,DQ-03,APL-2026-003594,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00149,DQ-03,APL-2026-005044,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00150,DQ-03,APL-2026-003573,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00151,DQ-03,APL-2026-000707,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00152,DQ-03,APL-2026-004668,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00153,DQ-03,APL-2026-002066,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00154,DQ-03,APL-2026-002270,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00155,DQ-03,APL-2026-005461,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00156,DQ-03,APL-2026-001068,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00157,DQ-03,APL-2026-001689,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00158,DQ-03,APL-2026-003455,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00159,DQ-03,APL-2026-001139,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00160,DQ-03,APL-2026-005111,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00161,DQ-03,APL-2026-001004,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00162,DQ-03,APL-2026-004398,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00163,DQ-03,APL-2026-000565,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00164,DQ-03,APL-2026-005691,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00165,DQ-03,APL-2026-003132,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00166,DQ-03,APL-2026-002927,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00167,DQ-03,APL-2026-005747,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00168,DQ-03,APL-2026-005901,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00169,DQ-03,APL-2026-000035,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00170,DQ-03,APL-2026-004425,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00171,DQ-03,APL-2026-000736,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00172,DQ-03,APL-2026-003038,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00173,DQ-03,APL-2026-003154,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00174,DQ-03,APL-2026-005982,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00175,DQ-03,APL-2026-005448,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00176,DQ-03,APL-2026-004905,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
EX-00177,DQ-03,APL-2026-002591,High,Status disagrees between case management and workflow tracker. Case management is authoritative per the source-of-truth policy.,Appeals Ops Manager,Open,2026-06-30,
